,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-03-14 18:59:00,1.09728,1.09746,1.09716,1.09742,114,0,0,1.09728,1.09776,1.09804,0.00031,0.00031,0.00028,1.09733,1.097165779952606,1.09746,1.09716,1.0,buy break even,2022-03-14 19:02:00,1.0971350000000002,1.09678,,,,,
2022-03-15 09:22:00,1.09964,1.10169,1.09945,1.10167,289,0,0,1.09766,1.09777,1.09778,0.00057,0.0004,0.00016,1.10061,1.09824623454253,1.10169,1.09824623454253,1.0,buy break even,2022-03-15 09:25:00,1.0996000000000001,1.09748,,,,,
2022-03-15 11:12:00,1.09984,1.09987,1.09963,1.09972,87,0,0,1.09932,1.09974,1.09994,0.00031,0.0003,0.00034,1.09977,1.099601806368016,1.09987,1.099601806368016,1.0,buy lose,2022-03-15 11:30:00,1.0998999999999999,1.09924,,,,,
2022-03-15 11:32:00,1.09949,1.09973,1.09945,1.09972,59,0,0,1.09938,1.09971,1.09976,0.00025,0.00025,0.00035,1.0996,1.0994251598661484,1.09973,1.0994251598661484,1.0,buy break even,2022-03-15 12:01:00,1.09976,1.0990900000000001,,,,,
2022-03-15 18:00:00,1.09728,1.09737,1.0972,1.09721,204,0,0,1.09824,1.09791,1.0975,0.00047,0.0005,0.00029,1.09727,1.0973922721852811,1.0973922721852811,1.0972,,,,,,1.0,sell break even,2022-03-15 18:03:00,1.09756,1.09795
2022-03-16 12:03:00,1.09884,1.09889,1.09876,1.09883,37,0,0,1.09822,1.09851,1.09863,0.00022,0.00022,0.00029,1.09883,1.0986366459367216,1.09889,1.0986366459367216,1.0,buy break even,2022-03-16 12:10:00,1.09892,1.09844,,,,,
2022-03-16 12:12:00,1.09987,1.10149,1.09987,1.10126,310,0,0,1.09832,1.09863,1.09885,0.00037,0.00027,0.0003,1.10062,1.0993715364178454,1.10149,1.0993715364178454,1.0,buy break even,2022-03-16 14:22:00,1.10006,1.0986,,,,,
2022-03-16 16:14:00,1.10093,1.10251,1.10093,1.10248,310,0,0,1.09972,1.09974,1.0998,0.00048,0.00037,0.00027,1.10171,1.1001525837867752,1.10251,1.1001525837867752,1.0,buy break even,2022-03-16 16:38:00,1.10088,1.09922,,,,,
2022-03-16 16:48:00,1.10013,1.10061,1.09988,1.1006,242,0,0,1.1003,1.10059,1.101,0.00064,0.00064,0.00032,1.10031,1.0996631870847569,1.10061,1.0996631870847569,1.0,buy win_3,2022-03-16 17:02:00,1.09965,1.09866,,,,,
2022-03-17 10:00:00,1.10444,1.10448,1.10397,1.10438,179,0,0,1.10343,1.10356,1.10379,0.00029,0.00025,0.00016,1.10432,1.1040491945537954,1.10448,1.10397,1.0,buy win_3,2022-03-17 10:16:00,1.1038999999999999,1.10329,,,,,
2022-03-17 11:34:00,1.10462,1.10466,1.10449,1.10456,68,0,0,1.10435,1.10467,1.1048,0.00026,0.00026,0.00023,1.10458,1.1043953084135487,1.10466,1.1043953084135487,1.0,buy lose,2022-03-17 12:00:00,1.10469,1.10408,,,,,
2022-03-17 14:04:00,1.10536,1.10561,1.10536,1.1055,190,0,0,1.10467,1.10488,1.10515,0.0004,0.00039,0.00028,1.10546,1.1052075650352915,1.10561,1.1052075650352915,1.0,buy break even,2022-03-17 14:05:00,1.1050849999999999,1.10453,,,,,
2022-03-17 14:12:00,1.10468,1.10532,1.10468,1.10531,151,0,0,1.10468,1.10487,1.10505,0.00046,0.00045,0.00028,1.105,1.104612217050919,1.10532,1.104612217050919,1.0,buy break even,2022-03-17 14:14:00,1.10468,1.10401,,,,,
2022-03-17 14:19:00,1.10518,1.10547,1.10518,1.10518,123,0,0,1.1047,1.10488,1.10503,0.00045,0.00046,0.00029,1.10525,1.1049399391957104,1.10547,1.1049399391957104,1.0,buy break even,2022-03-17 14:28:00,1.104985,1.10447,,,,,
2022-03-17 15:13:00,1.10515,1.10539,1.10512,1.10535,72,0,0,1.10475,1.10485,1.10486,0.00025,0.00025,0.00031,1.10525,1.105030787844771,1.10539,1.105030787844771,1.0,buy win_3,2022-03-17 15:28:00,1.10506,1.1047,,,,,
2022-03-18 14:41:00,1.10343,1.10343,1.10327,1.10334,50,0,0,1.10415,1.10346,1.10304,0.00019,0.00019,0.00021,1.10337,1.1034758851394963,1.1034758851394963,1.10327,,,,,,1.0,sell break even,2022-03-18 14:50:00,1.10324,1.10367
2022-03-18 14:51:00,1.10253,1.10279,1.10225,1.10259,293,0,0,1.10407,1.10343,1.10311,0.00028,0.00022,0.00021,1.10254,1.1031725643409565,1.1031725643409565,1.10225,,,,,,1.0,sell win_3,2022-03-18 15:08:00,1.102925,1.1036299999999999
2022-03-18 19:19:00,1.10522,1.10539,1.10517,1.10538,76,0,0,1.10472,1.10525,1.10569,0.0002,0.0002,0.0003,1.10529,1.1051531138266406,1.10539,1.1051531138266406,1.0,buy win_3,2022-03-18 19:52:00,1.10542,1.1050200000000001,,,,,
2022-03-21 09:57:00,1.10481,1.10503,1.10479,1.10502,60,0,0,1.10445,1.10453,1.10475,0.00023,0.00022,0.00013,1.10491,1.1046462500888956,1.10503,1.1046462500888956,1.0,buy break even,2022-03-21 10:30:00,1.10506,1.10444,,,,,
2022-03-21 10:38:00,1.1051,1.10512,1.1049,1.10506,72,0,0,1.10478,1.10498,1.10524,0.00026,0.00025,0.00016,1.10504,1.1048587054606354,1.10512,1.1048587054606354,1.0,buy break even,2022-03-21 11:05:00,1.10515,1.10461,,,,,
2022-03-21 11:07:00,1.10562,1.1061,1.1056,1.1061,101,0,0,1.10495,1.10517,1.10541,0.00025,0.00022,0.00018,1.10586,1.1055536037021851,1.1061,1.1055536037021851,1.0,buy win_3,2022-03-21 11:10:00,1.105625,1.10512,,,,,
2022-03-21 14:10:00,1.10408,1.1041,1.10393,1.10395,55,0,0,1.10436,1.10402,1.10363,0.00023,0.00023,0.00021,1.10402,1.1041239150713618,1.1041239150713618,1.10393,,,,,,1.0,sell break even,2022-03-21 14:45:00,1.1039,1.10439
2022-03-22 14:00:00,1.09994,1.10044,1.09994,1.1004,152,0,0,1.09978,1.09991,1.09993,0.00028,0.00026,0.00024,1.10018,1.0997958891197648,1.10044,1.0997958891197648,1.0,buy win_3,2022-03-22 14:15:00,1.1000100000000002,1.09955,,,,,
2022-03-22 15:03:00,1.10218,1.10241,1.10216,1.10241,128,0,0,1.10096,1.10152,1.10224,0.00029,0.00029,0.00025,1.10229,1.102075927399028,1.10241,1.102075927399028,1.0,buy break even,2022-03-22 15:09:00,1.1019649999999999,1.10149,,,,,
2022-03-23 13:05:00,1.10036,1.10036,1.10025,1.10027,47,0,0,1.10094,1.10052,1.10024,0.00017,0.00017,0.00021,1.10031,1.100434843992332,1.100434843992332,1.10025,,,,,,1.0,sell win_3,2022-03-23 13:23:00,1.10022,1.1006799999999999
2022-03-23 14:14:00,1.09916,1.09916,1.09893,1.099,100,0,0,1.09986,1.0993,1.09885,0.00021,0.00021,0.00021,1.09906,1.0992264027364085,1.0992264027364085,1.09893,,,,,,1.0,sell break even,2022-03-23 14:38:00,1.0989,1.09944
2022-03-23 14:48:00,1.0992,1.09921,1.09877,1.09886,87,0,0,1.09954,1.09906,1.09883,0.00023,0.00022,0.00022,1.09901,1.099277493257254,1.099277493257254,1.09877,,,,,,1.0,sell lose,2022-03-23 14:51:00,1.09874,1.09944
2022-03-23 14:55:00,1.09892,1.09893,1.09853,1.09859,107,0,0,1.09951,1.09906,1.09888,0.00027,0.00026,0.00022,1.09874,1.0990369335410723,1.0990369335410723,1.09853,,,,,,1.0,sell break even,2022-03-23 15:01:00,1.098995,1.09949
2022-03-23 15:08:00,1.09873,1.09878,1.09853,1.0986,59,0,0,1.09942,1.099,1.09883,0.00026,0.00026,0.00022,1.09866,1.0988444747233326,1.0988444747233326,1.09853,,,,,,1.0,sell win_3,2022-03-23 15:35:00,1.0985,1.09913
2022-03-23 16:17:00,1.09845,1.09849,1.09827,1.0983,98,0,0,1.09848,1.09798,1.09767,0.00028,0.00028,0.00024,1.09838,1.098587586860257,1.098587586860257,1.09827,,,,,,1.0,sell break even,2022-03-23 16:36:00,1.09824,1.0988499999999999
2022-03-24 09:39:00,1.09796,1.098,1.09785,1.09799,52,0,0,1.09827,1.09819,1.09818,0.00017,0.00016,0.00012,1.09795,1.098118395325835,1.098118395325835,1.09785,,,,,,1.0,sell lose,2022-03-24 10:15:00,1.09782,1.09829
2022-03-24 10:25:00,1.09815,1.09819,1.09784,1.09785,122,0,0,1.09815,1.09807,1.09804,0.00033,0.00033,0.00015,1.09801,1.0983416170744895,1.0983416170744895,1.09784,,,,,,1.0,sell break even,2022-03-24 10:30:00,1.0982949999999998,1.0987799999999999
2022-03-24 15:03:00,1.09801,1.09804,1.09779,1.09789,100,0,0,1.09856,1.09847,1.0982,0.00025,0.00025,0.00022,1.09793,1.0981527682112908,1.0981527682112908,1.09779,,,,,,1.0,sell break even,2022-03-24 15:12:00,1.0981450000000001,1.09853
2022-03-24 15:50:00,1.09781,1.09792,1.09755,1.09775,141,0,0,1.09833,1.09818,1.09798,0.00028,0.00027,0.00024,1.09776,1.098045916113107,1.098045916113107,1.09755,,,,,,1.0,sell win_3,2022-03-24 15:58:00,1.0979,1.09828
2022-03-24 16:07:00,1.09765,1.0977,1.09751,1.09751,89,0,0,1.09822,1.09805,1.09782,0.00032,0.00033,0.00025,1.09759,1.097736788985566,1.097736788985566,1.09751,,,,,,1.0,sell lose,2022-03-24 16:23:00,1.09748,1.09809
2022-03-25 11:03:00,1.10134,1.10136,1.10118,1.10119,114,0,0,1.10216,1.10193,1.10162,0.00024,0.00024,0.00016,1.10127,1.1014321328276977,1.1014321328276977,1.10118,,,,,,1.0,sell win_3,2022-03-25 11:10:00,1.1016,1.10205
2022-03-25 11:51:00,1.10105,1.10108,1.1009,1.10099,75,0,0,1.10166,1.10134,1.10101,0.00018,0.00018,0.00019,1.10101,1.1012090156661003,1.1012090156661003,1.1009,,,,,,1.0,sell break even,2022-03-25 12:12:00,1.10087,1.10138
2022-03-25 14:33:00,1.10115,1.10121,1.101,1.101,57,0,0,1.1013,1.10125,1.10123,0.00017,0.00016,0.00017,1.10109,1.1013043595362035,1.1013043595362035,1.101,,,,,,1.0,sell break even,2022-03-25 14:45:00,1.10097,1.10167
