,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-03-15 10:16:00,1.30323,1.30325,1.3023,1.30258,198,0,0,1.30361,1.3036,1.30349,0.00041,0.00037,0.00024,1.30284,1.3035070367000756,1.3035070367000756,1.3023,1.0,sell break even,2022-03-15 11:01:00,1.303175,1.30409,,,,,
2022-03-15 11:04:00,1.30298,1.30304,1.30269,1.3027,116,0,0,1.30321,1.30302,1.30272,0.00031,0.0003,0.00029,1.30285,1.3030196397821872,1.30304,1.30269,1.0,sell lose,2022-03-15 11:40:00,1.3026499999999999,1.30332,,,,,
2022-03-16 13:04:00,1.30634,1.30656,1.30617,1.30656,95,0,0,1.30607,1.30624,1.30626,0.00025,0.00023,0.00027,1.30641,1.3059647880761638,1.30656,1.3059647880761638,,,,,,1.0,buy win_3,2022-03-16 13:07:00,1.306025,1.30546
2022-03-16 13:07:00,1.30717,1.30767,1.30716,1.30763,111,0,0,1.3061,1.30629,1.30637,0.00029,0.00026,0.00028,1.30741,1.3067718485095203,1.30767,1.3067718485095203,,,,,,1.0,buy win_3,2022-03-16 13:38:00,1.3067700000000002,1.3058400000000001
2022-03-16 14:26:00,1.30834,1.30849,1.30833,1.30844,44,0,0,1.3076,1.30821,1.30878,0.00024,0.00025,0.00026,1.3084,1.308272635150752,1.30849,1.308272635150752,,,,,,1.0,buy break even,2022-03-16 14:40:00,1.30852,1.30806
2022-03-16 14:49:00,1.3084,1.30874,1.3084,1.30874,84,0,0,1.30784,1.30838,1.30874,0.00028,0.00029,0.00026,1.30857,1.3083904391279977,1.30874,1.3083904391279977,,,,,,1.0,buy break even,2022-03-16 15:09:00,1.30877,1.30827
2022-03-16 15:21:00,1.30844,1.30867,1.30844,1.30859,55,0,0,1.30814,1.30862,1.30886,0.00028,0.00029,0.00026,1.30854,1.3083989244499616,1.30867,1.3083989244499616,,,,,,1.0,buy lose,2022-03-16 15:32:00,1.3087,1.30817
2022-03-16 16:16:00,1.31016,1.31143,1.31006,1.3114,308,0,0,1.30835,1.30863,1.30865,0.00049,0.00039,0.00027,1.31076,1.309214204046781,1.31143,1.309214204046781,,,,,,1.0,buy break even,2022-03-16 16:36:00,1.3094999999999999,1.30754
2022-03-16 16:49:00,1.30877,1.30909,1.30858,1.30907,188,0,0,1.30879,1.30914,1.30935,0.0005,0.0005,0.0003,1.30888,1.3086279480462817,1.30909,1.30858,,,,,,1.0,buy break even,2022-03-16 16:51:00,1.308505,1.30789
2022-03-16 16:55:00,1.30944,1.30952,1.30923,1.30943,165,0,0,1.3088,1.30914,1.3093,0.00048,0.00049,0.00031,1.3094,1.3090029366882232,1.30952,1.3090029366882232,,,,,,1.0,buy win_3,2022-03-16 17:00:00,1.308975,1.3084
