,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop
2022-03-14 15:22:00,1.27541,1.27541,1.27517,1.27519,63,0,0,1.27561,1.27538,1.27516,0.00022,0.00023,0.00022,1.2753,1.275448053107675,1.275448053107675,1.27517,1.0,sell lose,2022-03-14 15:34:00,1.2751299999999999,1.27574,,,,,
2022-03-14 16:44:00,1.27509,1.27535,1.27507,1.27519,104,0,0,1.27566,1.2756,1.27553,0.00029,0.00028,0.00025,1.27518,1.275296888682362,1.27535,1.27507,1.0,sell lose,2022-03-14 16:47:00,1.2750299999999999,1.2757,,,,,
2022-03-14 16:51:00,1.27563,1.27563,1.27502,1.27502,74,0,0,1.27565,1.27559,1.27554,0.00035,0.00032,0.00025,1.27532,1.275812475692831,1.275812475692831,1.27502,1.0,sell win_3,2022-03-14 17:09:00,1.27557,1.27616,,,,,
2022-03-14 18:35:00,1.27614,1.27651,1.27614,1.27651,67,0,0,1.27586,1.27605,1.27644,0.00024,0.00024,0.00028,1.27632,1.2760665176144856,1.27651,1.2760665176144856,,,,,,1.0,buy win_3,2022-03-14 18:49:00,1.276185,1.27583
2022-03-14 18:49:00,1.27687,1.27714,1.27684,1.27711,76,0,0,1.27592,1.27611,1.2764,0.00024,0.00022,0.00028,1.27699,1.2765370047923348,1.27714,1.2765370047923348,,,,,,1.0,buy win_3,2022-03-14 18:53:00,1.276545,1.27592
2022-03-15 10:00:00,1.28413,1.28449,1.28412,1.28449,207,0,0,1.28363,1.284,1.28433,0.00027,0.00026,0.00018,1.28431,1.284064553210423,1.28449,1.284064553210423,,,,,,1.0,buy lose,2022-03-15 10:14:00,1.2845199999999999,1.28389
2022-03-15 10:26:00,1.28436,1.28458,1.28436,1.2845,95,0,0,1.28379,1.28411,1.2843,0.00028,0.00028,0.00021,1.28445,1.2841262913181566,1.28458,1.2841262913181566,,,,,,1.0,buy win_3,2022-03-15 10:36:00,1.28422,1.28383
2022-03-15 12:01:00,1.28629,1.28649,1.28629,1.28634,95,0,0,1.28521,1.28578,1.28632,0.00024,0.00023,0.00023,1.28635,1.2860117555212045,1.28649,1.2860117555212045,,,,,,1.0,buy break even,2022-03-15 12:14:00,1.2860999999999998,1.28568
2022-03-16 09:25:00,1.27444,1.27447,1.27436,1.27439,28,0,4,1.27464,1.27427,1.27412,0.00018,0.00018,0.00013,1.27441,1.2745024955061015,1.2745024955061015,1.27436,1.0,sell lose,2022-03-16 09:35:00,1.27432,1.27469,,,,,
2022-03-16 15:20:00,1.27067,1.27073,1.27058,1.2706,31,0,0,1.27067,1.2702,1.26996,0.0002,0.00021,0.00019,1.27064,1.2707070546513703,1.27073,1.27058,1.0,sell win_3,2022-03-16 15:37:00,1.27054,1.2709300000000001,,,,,
2022-03-17 09:38:00,1.26793,1.26797,1.2678,1.2678,20,0,4,1.26792,1.26781,1.26768,0.00019,0.00018,0.00015,1.26788,1.2679780012882498,1.2679780012882498,1.2678,1.0,sell win_3,2022-03-17 09:58:00,1.26776,1.26827,,,,,
2022-03-17 17:14:00,1.26609,1.26622,1.26606,1.26616,33,0,0,1.26651,1.2665,1.26646,0.00026,0.00026,0.00026,1.26613,1.2662847807330877,1.2662847807330877,1.26606,1.0,sell win_3,2022-03-17 17:55:00,1.26602,1.2666,,,,,
2022-03-18 12:59:00,1.26051,1.26051,1.2604,1.26049,58,0,0,1.26088,1.26078,1.26052,0.00017,0.00017,0.00019,1.26048,1.2605893786321694,1.2605893786321694,1.2604,1.0,sell lose,2022-03-18 13:06:00,1.26036,1.26086,,,,,
2022-03-21 16:26:00,1.25946,1.25957,1.25913,1.2592,66,0,0,1.26,1.25965,1.2592,0.00033,0.00033,0.00023,1.25934,1.2595529278023296,1.25957,1.25913,1.0,sell win_3,2022-03-21 18:07:00,1.25909,1.2597800000000001,,,,,
2022-03-21 18:34:00,1.2577,1.25775,1.25753,1.25753,168,0,0,1.25868,1.25819,1.25767,0.00033,0.00031,0.00025,1.25763,1.2577751056328714,1.2577751056328714,1.25753,1.0,sell break even,2022-03-21 18:37:00,1.257965,1.25844,,,,,
2022-03-23 17:50:00,1.25622,1.25631,1.25604,1.25604,92,0,0,1.25703,1.2563,1.25554,0.0003,0.0003,0.00028,1.25615,1.2562775959443242,1.25631,1.25604,1.0,sell break even,2022-03-23 19:13:00,1.256,1.25667,,,,,
2022-03-24 10:00:00,1.25724,1.25726,1.25705,1.25705,80,0,0,1.25735,1.25727,1.25712,0.00015,0.00014,0.00012,1.25715,1.2572896615051965,1.2572896615051965,1.25705,1.0,sell win_3,2022-03-24 10:07:00,1.25701,1.2574100000000001,,,,,
2022-03-24 13:44:00,1.25598,1.25615,1.25577,1.2558,102,0,1,1.25692,1.25672,1.25634,0.0003,0.0003,0.00015,1.25592,1.2561009745501222,1.25615,1.25577,1.0,sell break even,2022-03-24 14:23:00,1.2564000000000002,1.2570700000000001,,,,,
2022-03-24 14:28:00,1.25627,1.25629,1.25622,1.25622,48,0,0,1.25653,1.25626,1.25599,0.00018,0.00019,0.00017,1.25625,1.2563275895904171,1.2563275895904171,1.25622,1.0,sell lose,2022-03-24 14:30:00,1.2561799999999999,1.25652,,,,,
2022-03-24 15:49:00,1.25579,1.25591,1.25577,1.2558,77,0,0,1.25664,1.25658,1.25653,0.00029,0.0003,0.00021,1.25582,1.2560213107948457,1.2560213107948457,1.25577,1.0,sell win_3,2022-03-24 16:02:00,1.256175,1.25662,,,,,
2022-03-25 15:07:00,1.25296,1.25296,1.25259,1.25268,53,0,0,1.25314,1.25296,1.2529,0.0002,0.00019,0.00013,1.2528,1.2531295773009226,1.2531295773009226,1.25259,1.0,sell win_3,2022-03-25 15:25:00,1.252955,1.25336,,,,,
2022-03-25 16:11:00,1.25186,1.25195,1.25181,1.25181,130,0,0,1.25254,1.25221,1.25185,0.00029,0.00029,0.00018,1.25186,1.2520040997110915,1.2520040997110915,1.25181,1.0,sell lose,2022-03-25 16:14:00,1.25177,1.25227,,,,,
2022-03-25 16:32:00,1.25259,1.25262,1.25218,1.25219,68,0,0,1.25254,1.25231,1.25225,0.00027,0.00027,0.0002,1.25239,1.2526943740864276,1.2526943740864276,1.25218,1.0,sell win_3,2022-03-25 16:35:00,1.252535,1.25293,,,,,
2022-03-25 16:35:00,1.25168,1.25186,1.25151,1.25167,125,0,0,1.25251,1.25228,1.25219,0.00029,0.00028,0.0002,1.25168,1.2519805467608034,1.2519805467608034,1.25151,1.0,sell win_3,2022-03-25 17:05:00,1.2521049999999998,1.25274,,,,,
2022-03-25 18:02:00,1.25116,1.25116,1.25093,1.25101,116,0,0,1.25145,1.25102,1.25067,0.0003,0.00031,0.00026,1.25107,1.251226060138244,1.251226060138244,1.25093,1.0,sell win_3,2022-03-25 18:47:00,1.25089,1.25154,,,,,
2022-03-28 11:30:00,1.24899,1.24902,1.24877,1.24878,90,0,0,1.24923,1.24919,1.24911,0.0002,0.0002,0.00016,1.24889,1.2490247480876575,1.2490247480876575,1.24877,1.0,sell lose,2022-03-28 11:35:00,1.24873,1.24927,,,,,
2022-03-28 11:38:00,1.24882,1.24889,1.24873,1.2488,96,0,0,1.24921,1.24917,1.24907,0.00021,0.0002,0.00016,1.24881,1.2490394326097174,1.2490394326097174,1.24873,1.0,sell break even,2022-03-28 11:51:00,1.2486899999999999,1.24936,,,,,
2022-03-28 12:32:00,1.24864,1.24872,1.24863,1.24865,42,0,0,1.2491,1.24904,1.24903,0.00019,0.00019,0.00019,1.24866,1.2488993107195188,1.2488993107195188,1.24863,1.0,sell break even,2022-03-28 12:56:00,1.2485899999999999,1.24912,,,,,
2022-03-29 09:34:00,1.25112,1.25112,1.25093,1.25098,86,0,0,1.25146,1.25135,1.2512,0.00014,0.00013,0.0001,1.25104,1.2511769319809525,1.2511769319809525,1.25093,1.0,sell win_3,2022-03-29 10:01:00,1.25089,1.2514100000000001,,,,,
2022-03-29 10:56:00,1.24999,1.25009,1.24992,1.25009,75,0,0,1.25066,1.25033,1.24999,0.0002,0.0002,0.00014,1.25002,1.250131803372025,1.250131803372025,1.24992,1.0,sell lose,2022-03-29 11:00:00,1.2498799999999999,1.2503900000000001,,,,,
2022-03-29 14:36:00,1.24887,1.24887,1.24863,1.24881,74,0,0,1.24908,1.24876,1.24864,0.00022,0.00021,0.0002,1.24879,1.248951019514596,1.248951019514596,1.24863,1.0,sell win_3,2022-03-29 14:48:00,1.2485899999999999,1.24923,,,,,
2022-03-29 14:48:00,1.24769,1.2477,1.24697,1.24726,221,0,0,1.24901,1.2487,1.24855,0.00034,0.00029,0.00021,1.2474,1.2480753078660924,1.2480753078660924,1.24697,1.0,sell lose,2022-03-29 15:07:00,1.2479,1.2488700000000001,,,,,
2022-03-30 10:00:00,1.24875,1.24876,1.24838,1.2485,136,0,0,1.24886,1.24874,1.24871,0.00018,0.00016,0.00011,1.2486,1.2488651505988533,1.2488651505988533,1.24838,1.0,sell break even,2022-03-30 10:20:00,1.24872,1.2491,,,,,
