,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,s_heikin_em_v1_buy,s_heikin_em_v1_buy_results,s_heikin_em_v1_buy_end,s_heikin_em_v1_buy_enter,s_heikin_em_v1_buy_stop,s_heikin_em_v1_sell,s_heikin_em_v1_sell_results,s_heikin_em_v1_sell_end,s_heikin_em_v1_sell_enter,s_heikin_em_v1_sell_stop
2022-03-15 17:59:00,118.172,118.206,118.17,118.2,235,0,0,118.09055,118.13604,118.18835,0.0231,0.02167,0.02196,118.187,118.15605420373429,118.206,118.15605420373429,1.0,buy win_3,2022-03-15 18:13:00,118.1605,118.112,,,,,
2022-03-16 08:54:00,118.254,118.258,118.253,118.258,37,0,0,118.25645,118.26096,118.27239,0.0112,0.01156,0.01083,118.25575,118.25154222641204,118.258,118.25154222641204,1.0,buy lose,2022-03-16 08:56:00,118.261,118.239,,,,,
2022-03-16 09:01:00,118.255,118.262,118.25,118.256,85,0,0,118.25531,118.25856,118.2645,0.0124,0.01233,0.01095,118.25575,118.24171712676883,118.262,118.24171712676883,1.0,buy break even,2022-03-16 10:18:00,118.265,118.214,,,,,
2022-03-16 10:20:00,118.313,118.328,118.303,118.309,194,0,0,118.29973,118.31748,118.33576,0.02091,0.01784,0.01312,118.31325,118.29664559488477,118.328,118.29664559488477,1.0,buy break even,2022-03-16 10:32:00,118.293,118.255,,,,,
2022-03-16 10:34:00,118.314,118.331,118.314,118.325,128,0,0,118.30324,118.31935,118.33134,0.02073,0.01972,0.01381,118.321,118.3093919003659,118.331,118.3093919003659,1.0,buy lose,2022-03-16 12:36:00,118.334,118.286,,,,,
2022-03-16 16:19:00,118.311,118.331,118.296,118.326,287,0,0,118.29604,118.30019,118.31216,0.0272,0.02476,0.01435,118.316,118.30022339150084,118.331,118.296,1.0,buy break even,2022-03-16 16:39:00,118.286,118.238,,,,,
2022-03-16 16:46:00,118.299,118.328,118.299,118.32,154,0,0,118.30014,118.30475,118.31053,0.03591,0.03632,0.01622,118.3115,118.28628534280676,118.328,118.28628534280676,1.0,buy win_3,2022-03-16 16:58:00,118.2835,118.236,,,,,
2022-03-18 08:30:00,118.766,118.766,118.763,118.764,16,0,0,118.75491,118.76477,118.77105,0.00943,0.01009,0.00851,118.76475,118.76339254252204,118.766,118.763,1.0,buy win_3,2022-03-18 08:43:00,118.769,118.755,,,,,
2022-03-18 09:49:00,118.852,118.858,118.851,118.852,24,0,0,118.82926,118.86176,118.8966,0.02067,0.02187,0.01177,118.85325,118.847236205057,118.858,118.847236205057,1.0,buy break even,2022-03-18 10:32:00,118.861,118.827,,,,,
2022-03-18 11:04:00,118.892,118.9,118.89,118.9,24,0,0,118.84788,118.86302,118.86334,0.01499,0.01521,0.01515,118.8955,118.88242849512424,118.9,118.88242849512424,1.0,buy break even,2022-03-18 11:51:00,118.903,118.85,,,,,
2022-03-18 14:48:00,119.048,119.06,119.048,119.059,34,0,0,119.01659,119.04379,119.05754,0.01603,0.0164,0.0148,119.05375,119.0451543181738,119.06,119.0451543181738,1.0,buy break even,2022-03-18 14:50:00,119.063,119.026,,,,,
2022-03-18 14:51:00,119.208,119.233,119.128,119.138,279,0,0,119.01995,119.04812,119.06587,0.03541,0.02289,0.015,119.17675,119.0938005397717,119.233,119.0938005397717,1.0,buy win_3,2022-03-18 15:13:00,119.1385,119.041,,,,,
2022-03-21 11:41:00,119.229,119.23,119.228,119.23,18,0,0,119.22835,119.22982,119.23674,0.01127,0.01177,0.01178,119.22925,119.22376545434716,119.23,119.22376545434716,1.0,buy lose,2022-03-21 11:49:00,119.233,119.21,,,,,
2022-03-21 11:51:00,119.223,119.231,119.223,119.23,49,0,0,119.22808,119.22914,119.23293,0.0123,0.01161,0.01198,119.22675,119.21796974165464,119.231,119.21796974165464,1.0,buy lose,2022-03-21 12:22:00,119.234,119.198,,,,,
2022-03-21 14:56:00,119.235,119.24,119.23,119.233,41,0,0,119.21164,119.2142,119.22724,0.01339,0.01341,0.01286,119.2345,119.22471526965656,119.24,119.22471526965656,2.0,,1970-01-01 00:00:00,119.243,119.205,,,,,
2022-03-22 14:05:00,120.778,120.799,120.776,120.793,118,0,0,120.74147,120.79736,120.79914,0.03179,0.03252,0.02931,120.7865,120.76930381063984,120.799,120.76930381063984,1.0,buy break even,2022-03-22 14:32:00,120.802,120.736,,,,,
2022-03-24 17:04:00,121.924,121.933,121.92,121.925,131,0,0,121.82614,121.8822,121.92594,0.0226,0.02204,0.02395,121.9255,121.90927719810672,121.933,121.90927719810672,1.0,buy lose,2022-03-24 17:14:00,121.936,121.879,,,,,
2022-03-24 17:19:00,121.894,121.898,121.89,121.892,109,0,0,121.83653,121.88631,121.91385,0.02296,0.02382,0.02376,121.8935,121.88096071707758,121.898,121.88096071707758,1.0,buy win_3,2022-03-24 17:26:00,121.863,121.825,,,,,
2022-03-24 17:26:00,121.939,121.963,121.939,121.958,96,0,0,121.84192,121.88972,121.91477,0.02159,0.02146,0.02376,121.94975,121.91929656810215,121.963,121.91929656810215,1.0,buy break even,2022-03-24 17:42:00,121.92099999999999,121.876,,,,,
2022-03-24 17:47:00,122.004,122.06,122.003,122.036,161,0,0,121.86576,121.91335,121.94561,0.02854,0.02461,0.0241,122.02575,121.97384103228882,122.06,121.97384103228882,1.0,buy win_3,2022-03-24 18:31:00,121.986,121.909,,,,,
2022-03-25 09:10:00,121.734,121.762,121.734,121.754,76,0,0,121.71237,121.74031,121.80018,0.03484,0.03302,0.02916,121.746,121.70585054243034,121.762,121.70585054243034,1.0,buy win_3,2022-03-25 09:17:00,121.707,121.649,,,,,
2022-03-28 09:36:00,123.147,123.173,123.137,123.17,125,0,0,123.04893,123.11055,123.13471,0.03232,0.03118,0.02383,123.15675,123.11908360231288,123.173,123.11908360231288,1.0,buy break even,2022-03-28 09:39:00,123.1255,123.075,,,,,
2022-03-28 09:46:00,123.114,123.144,123.114,123.133,90,0,0,123.05585,123.11225,123.13004,0.02954,0.03054,0.02444,123.12625,123.107804036721,123.144,123.107804036721,1.0,buy win_3,2022-03-28 09:55:00,123.111,123.075,,,,,
2022-03-28 12:53:00,124.274,124.32,124.262,124.32,193,0,0,124.06342,124.28787,124.42135,0.0747,0.07604,0.05985,124.294,124.23754077972794,124.32,124.23754077972794,1.0,buy break even,2022-03-28 13:21:00,124.1835,124.044,,,,,
2022-03-30 10:34:00,121.672,121.698,121.61,121.629,205,0,0,121.87106,121.85483,121.85449,0.05475,0.04934,0.04111,121.65225,121.76435336211976,121.76435336211976,121.61,,,,,,1.0,sell lose,2022-03-30 10:47:00,121.735,121.863
2022-03-30 10:52:00,121.743,121.765,121.724,121.76,186,0,0,121.85246,121.82963,121.80834,0.05021,0.04878,0.04142,121.748,121.81267394105286,121.81267394105286,121.724,,,,,,1.0,sell break even,2022-03-30 10:55:00,121.7925,121.864
2022-03-31 10:52:00,121.649,121.652,121.635,121.636,80,0,0,121.80876,121.68912,121.58351,0.03619,0.0377,0.0365,121.643,121.6637434763596,121.6637434763596,121.635,,,,,,1.0,sell lose,2022-03-31 11:00:00,121.632,121.695
2022-03-31 15:13:00,121.745,121.753,121.728,121.732,91,0,0,121.79771,121.75429,121.70396,0.03497,0.0369,0.03114,121.7395,121.76085528993364,121.76085528993364,121.728,,,,,,1.0,sell lose,2022-03-31 15:15:00,121.7635,121.802
