,open,high,low,close,tick_volume,real_volume,spread,ema_200,ema_117,ema_50,adx,di_p,di_n,atr,atr_sma_5,atr_sma_200,heikin_close,heikin_open,heikin_high,heikin_low,adx_heikin_ema_buy,adx_heikin_ema_buy_results,adx_heikin_ema_buy_end,adx_heikin_ema_buy_enter,adx_heikin_ema_buy_stop,adx_heikin_ema_sell,adx_heikin_ema_sell_results,adx_heikin_ema_sell_end,adx_heikin_ema_sell_enter,adx_heikin_ema_sell_stop
2022-03-15 11:32:00,1.09949,1.09973,1.09945,1.09972,59,0,0,1.09938,1.09971,1.09976,18.08886816929178,18.23616411118302,23.811862335416905,0.00025,0.00025,0.00035,1.0996,1.0994251598661484,1.09973,1.0994251598661484,1.0,buy break even,2022-03-15 12:01:00,1.09976,1.0990900000000001,,,,,
2022-03-16 16:14:00,1.10093,1.10251,1.10093,1.10248,310,0,0,1.09972,1.09974,1.0998,21.802195179051186,52.468087512378204,11.06883965917447,0.00048,0.00037,0.00027,1.10171,1.1001525837867752,1.10251,1.1001525837867752,1.0,buy break even,2022-03-16 16:38:00,1.10088,1.09922,,,,,
2022-03-16 16:48:00,1.10013,1.10061,1.09988,1.1006,242,0,0,1.1003,1.10059,1.101,32.08455860548656,21.31789453190121,30.96304587265069,0.00064,0.00064,0.00032,1.10031,1.0996631870847569,1.10061,1.0996631870847569,1.0,buy win_3,2022-03-16 17:02:00,1.09965,1.09866,,,,,
2022-03-18 14:41:00,1.10343,1.10343,1.10327,1.10334,50,0,0,1.10415,1.10346,1.10304,23.36562464334705,28.980637271235448,20.171901702254317,0.00019,0.00019,0.00021,1.10337,1.1034758851394963,1.1034758851394963,1.10327,,,,,,1.0,sell break even,2022-03-18 14:50:00,1.10324,1.10367
2022-03-18 14:51:00,1.10253,1.10279,1.10225,1.10259,293,0,0,1.10407,1.10343,1.10311,25.531708726959124,10.929008019840468,37.189220057260826,0.00028,0.00022,0.00021,1.10254,1.1031725643409565,1.1031725643409565,1.10225,,,,,,1.0,sell win_3,2022-03-18 15:08:00,1.102925,1.1036299999999999
2022-03-22 14:00:00,1.09994,1.10044,1.09994,1.1004,152,0,0,1.09978,1.09991,1.09993,14.534892112412091,28.979214400264937,18.125920934803077,0.00028,0.00026,0.00024,1.10018,1.0997958891197648,1.10044,1.0997958891197648,1.0,buy win_3,2022-03-22 14:15:00,1.1000100000000002,1.09955,,,,,
2022-03-22 15:03:00,1.10218,1.10241,1.10216,1.10241,128,0,0,1.10096,1.10152,1.10224,27.86035157130477,22.65403672834445,27.3142053959918,0.00029,0.00029,0.00025,1.10229,1.102075927399028,1.10241,1.102075927399028,1.0,buy break even,2022-03-22 15:09:00,1.1019649999999999,1.10149,,,,,
2022-03-23 13:05:00,1.10036,1.10036,1.10025,1.10027,47,0,0,1.10094,1.10052,1.10024,16.22927798667348,29.61932550464032,22.179334531688287,0.00017,0.00017,0.00021,1.10031,1.100434843992332,1.100434843992332,1.10025,,,,,,1.0,sell win_3,2022-03-23 13:23:00,1.10022,1.1006799999999999
2022-03-23 14:14:00,1.09916,1.09916,1.09893,1.099,100,0,0,1.09986,1.0993,1.09885,29.47419074364864,24.81483363630131,20.651150653530856,0.00021,0.00021,0.00021,1.09906,1.0992264027364085,1.0992264027364085,1.09893,,,,,,1.0,sell break even,2022-03-23 14:38:00,1.0989,1.09944
2022-03-23 14:48:00,1.0992,1.09921,1.09877,1.09886,87,0,0,1.09954,1.09906,1.09883,21.70167997232261,22.071830513128017,22.798067350790305,0.00023,0.00022,0.00022,1.09901,1.099277493257254,1.099277493257254,1.09877,,,,,,1.0,sell lose,2022-03-23 14:51:00,1.09874,1.09944
2022-03-23 14:55:00,1.09892,1.09893,1.09853,1.09859,107,0,0,1.09951,1.09906,1.09888,18.734005898195807,21.807383255188924,34.131967732209375,0.00027,0.00026,0.00022,1.09874,1.0990369335410723,1.0990369335410723,1.09853,,,,,,1.0,sell break even,2022-03-23 15:01:00,1.098995,1.09949
2022-03-23 15:08:00,1.09873,1.09878,1.09853,1.0986,59,0,0,1.09942,1.099,1.09883,14.581414222876855,19.073297217573582,29.86464424760068,0.00026,0.00026,0.00022,1.09866,1.0988444747233326,1.0988444747233326,1.09853,,,,,,1.0,sell win_3,2022-03-23 15:35:00,1.0985,1.09913
2022-03-23 16:17:00,1.09845,1.09849,1.09827,1.0983,98,0,0,1.09848,1.09798,1.09767,40.26924850120692,34.42070612613971,14.911466094347418,0.00028,0.00028,0.00024,1.09838,1.098587586860257,1.098587586860257,1.09827,,,,,,1.0,sell break even,2022-03-23 16:36:00,1.09824,1.0988499999999999
2022-03-28 10:56:00,1.095,1.09504,1.09481,1.09489,175,0,0,1.09548,1.09546,1.09544,16.157534121128986,17.366047266645896,28.885607380465817,0.00026,0.00025,0.00017,1.09494,1.0953235393037364,1.0953235393037364,1.09481,,,,,,1.0,sell break even,2022-03-28 11:10:00,1.095195,1.09561
2022-03-30 10:00:00,1.11121,1.11255,1.11121,1.11231,230,0,0,1.11118,1.11126,1.11127,36.13768307566719,38.16379743005386,18.45386122022741,0.00034,0.00027,0.00015,1.11182,1.110956243298707,1.11255,1.110956243298707,1.0,buy break even,2022-03-30 10:31:00,1.111555,1.11053,,,,,
2022-03-30 10:33:00,1.11208,1.1122,1.11202,1.11219,201,0,0,1.1115,1.11171,1.11199,20.703090809493933,18.213696191345207,20.798103386401948,0.00034,0.00035,0.00019,1.11212,1.1118860968497182,1.1122,1.1118860968497182,1.0,buy win_3,2022-03-30 10:37:00,1.111875,1.11152,,,,,
2022-03-30 11:08:00,1.1123,1.11258,1.11229,1.11244,117,0,0,1.11182,1.11209,1.11239,16.64818877800759,23.79082747089852,25.916330068227825,0.00035,0.00035,0.00022,1.1124,1.1121778376700178,1.11258,1.1121778376700178,1.0,buy break even,2022-03-30 11:25:00,1.112145,1.11168,,,,,
